รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.
9,ชัยภูมิ,โรงพยาบาลซับใหญ่,SUBYAI HOSPITAL,4007,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลพระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA HOSPITAL,10660,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
4,สระบุรี,โรงพยาบาลสระบุรี,SARABURI HOSPITAL,10661,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,ชลบุรี,โรงพยาบาลชลบุรี,CHONBURI HOSPITAL,10662,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,ระยอง,โรงพยาบาลระยอง,RAYONG HOSPITAL,10663,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,จันทบุรี,โรงพยาบาลพระปกเกล้า,PRAPOKKLAO HOSPITAL,10664,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,ปราจีนบุรี,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,CHAOPHYA ABHAI BHUBEJHR HOSPITAL ,10665,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
9,นครราชสีมา,โรงพยาบาลมหาราชนครราชสีมา,MAHARAT NAKHON RATCHASIMA HOSPITAL,10666,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
9,บุรีรัมย์,โรงพยาบาลบุรีรัมย์,BURIRAM HOSPITAL,10667,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
9,สุรินทร์,โรงพยาบาลสุรินทร์,SURIN HOPITAL,10668,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
10,อุบลราชธานี,โรงพยาบาลสรรพสิทธิประสงค์,SUNPASITTHIPRASONG HOSPITAL,10669,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
7,ขอนแก่น,โรงพยาบาลขอนแก่น,KHONKAEN HOSPITAL,10670,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
8,อุดรธานี,โรงพยาบาลอุดรธานี,UDONTHANI HOSPITAL,10671,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
1,ลำปาง,โรงพยาบาลลำปาง,LAMPANG HOSPITAL,10672,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
2,อุตรดิตถ์,โรงพยาบาลอุตรดิตถ์,UTTARADIT HOSPITAL,10673,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
1,เชียงราย,โรงพยาบาลเชียงรายประชานุเคราะห์,CHIANGRAI PRACHANUKROH HOSPITAL,10674,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
3,นครสวรรค์,โรงพยาบาลสวรรค์ประชารักษ์,SAWANPRACHARAK HOSPITAL,10675,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
2,พิษณุโลก,โรงพยาบาลพุทธชินราช พิษณุโลก,BUDDHACHINARAJ  PHITSANULOK  HOSPITAL,10676,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
5,ราชบุรี,โรงพยาบาลราชบุรี,RATCHABURI HOSPITAL,10677,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
5,สุพรรณบุรี,โรงพยาบาลเจ้าพระยายมราช,CHAOPHRAYA YOMMARAT HOSPITAL,10678,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
5,นครปฐม,โรงพยาบาลนครปฐม,NAKHONPATHOM HOSPITAL,10679,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
11,นครศรีธรรมราช,โรงพยาบาลมหาราชนครศรีธรรมราช,MAHARAJ NAKHON SI THAMMARAT HOSPITAL,10680,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
11,สุราษฎร์ธานี,โรงพยาบาลสุราษฎร์ธานี,SURATTHANI HOSPITAL,10681,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
12,สงขลา,โรงพยาบาลหาดใหญ่,HATYAI HOSPITAL,10682,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
12,ตรัง,โรงพยาบาลตรัง,TRANG  HOSPITAL,10683,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
12,ยะลา,โรงพยาบาลยะลา,YALA HOSPITAL,10684,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,สมุทรปราการ,โรงพยาบาลสมุทรปราการ,SAMUTPRAKAN HOSPITAL,10685,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
4,นนทบุรี,โรงพยาบาลพระนั่งเกล้า,PRANANGKLAO HOSPITAL,10686,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
4,ปทุมธานี,โรงพยาบาลปทุมธานี,PATHUMTHANI HOSPITAL,10687,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
4,พระนครศรีอยุธยา,โรงพยาบาลเสนา,SENA HOSPITAL,10688,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
4,อ่างทอง,โรงพยาบาลอ่างทอง,ANGTHONG HOSPITAL,10689,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
4,ลพบุรี,โรงพยาบาลพระนารายณ์มหาราช,KING NARAI HOSPITAL,10690,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
4,ลพบุรี,โรงพยาบาลบ้านหมี่,BANMI HOSPITAL,10691,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
4,สิงห์บุรี,โรงพยาบาลสิงห์บุรี,SINGBURI HOSPITAL,10692,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
4,สิงห์บุรี,โรงพยาบาลอินทร์บุรี,INBURI HOSPITAL,10693,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
3,ชัยนาท,โรงพยาบาลชัยนาทนเรนทร,JAINADNARENDRA HOSPITAL,10694,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
4,สระบุรี,โรงพยาบาลพระพุทธบาท,PHRAPHUTTHABAT HOSPITAL,10695,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
6,ตราด,โรงพยาบาลตราด,TRAT HOSPITAL,10696,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
6,ฉะเชิงเทรา,โรงพยาบาลพุทธโสธร,BUDDHASOTHORN HOSPITAL,10697,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
4,นครนายก,โรงพยาบาลนครนายก,NAKHON NAYOK HOSPITAL,10698,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
6,สระแก้ว,โรงพยาบาลสมเด็จพระยุพราชสระแก้ว,SAKAEO CROWN PRINCE HOSPITAL,10699,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
10,ศรีสะเกษ,โรงพยาบาลศรีสะเกษ,SISAKET HOSPITAL,10700,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
10,ยโสธร,โรงพยาบาลยโสธร,YASOTHON  HOSPITAL,10701,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
9,ชัยภูมิ,โรงพยาบาลชัยภูมิ,CHAIYAPHUM HOSPITAL,10702,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
10,อำนาจเจริญ,โรงพยาบาลอำนาจเจริญ,AMNATCHAROEN HOSPITAL,10703,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
8,หนองบัวลำภู,โรงพยาบาลหนองบัวลำภู,NONGBUALAMPHU HOSPITAL,10704,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
8,เลย,โรงพยาบาลเลย,LOEI HOSPITAL,10705,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
8,หนองคาย,โรงพยาบาลหนองคาย,NONGKHAI HOSPITAL,10706,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
7,มหาสารคาม,โรงพยาบาลมหาสารคาม,MAHASARAKHAM HOSPITAL,10707,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
7,ร้อยเอ็ด,โรงพยาบาลร้อยเอ็ด,ROI ET HOSPITAL,10708,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
7,กาฬสินธุ์,โรงพยาบาลกาฬสินธุ์,KALASIN HOSPITAL,10709,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
8,สกลนคร,โรงพยาบาลสกลนคร,SAKONNAKHON HOSPITAL,10710,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
8,นครพนม,โรงพยาบาลนครพนม,NAKHONPHANOM HOSPITAL,10711,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
10,มุกดาหาร,โรงพยาบาลมุกดาหาร,MUKDAHAN HOSPITAL,10712,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
1,เชียงใหม่,โรงพยาบาลนครพิงค์,NAKORNPING HOSPITAL,10713,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
1,ลำพูน,โรงพยาบาลลำพูน,LAMPHUN HOSPITAL,10714,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
1,แพร่,โรงพยาบาลแพร่,PHRAE HOSPITAL,10715,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
1,น่าน,โรงพยาบาลน่าน,NAN HOSPITAL,10716,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
1,พะเยา,โรงพยาบาลพะเยา,PHAYAO HOSPITAL,10717,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
1,พะเยา,โรงพยาบาลเชียงคำ,CHIANGKHAM HOSPITAL,10718,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
1,แม่ฮ่องสอน,โรงพยาบาลศรีสังวาลย์,SRISANGWAN HOSPITAL,10719,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
3,อุทัยธานี,โรงพยาบาลอุทัยธานี,UTHAI THANI HOSPITAL,10720,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
3,กำแพงเพชร,โรงพยาบาลกำแพงเพชร,KAMPHAENGPHET HOSPITAL,10721,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
2,ตาก,โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,SOMDEJPRAJAOTAKSINMAHARAJ HOSPITAL,10722,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
2,ตาก,โรงพยาบาลแม่สอด,MAESOT GENERAL HOSPITAL,10723,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
2,สุโขทัย,โรงพยาบาลสุโขทัย,SUKHOTHAI HOSPITAL,10724,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
2,สุโขทัย,โรงพยาบาลศรีสังวรสุโขทัย,SRISANGWORNSUKHOTHAI HOSPITAL,10725,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
3,พิจิตร,โรงพยาบาลพิจิตร,PHICHIT HOSPITAL,10726,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
2,เพชรบูรณ์,โรงพยาบาลเพชรบูรณ์,PHETCHABUN HOSPITAL,10727,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,ราชบุรี,โรงพยาบาลดำเนินสะดวก,DAMNOEN SADUAK HOSPITAL,10728,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,ราชบุรี,โรงพยาบาลบ้านโป่ง,BANPONG HOSPITAL,10729,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,ราชบุรี,โรงพยาบาลโพธาราม,PHOTHARAM HOSPITAL,10730,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,กาญจนบุรี,โรงพยาบาลพหลพลพยุหเสนา,PHAHOLPOLPAYUHASAENA HOSPITAL,10731,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,กาญจนบุรี,โรงพยาบาลมะการักษ์,MAKARAK HOSPITAL,10732,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,สุพรรณบุรี,โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ 17,SOMDEJPRASANGKHARACH XVII HOSPITAL,10733,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,สมุทรสาคร,โรงพยาบาลสมุทรสาคร,SAMUTSAKHON HOSPITAL,10734,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
5,สมุทรสงคราม,โรงพยาบาลสมเด็จพระพุทธเลิศหล้า,SOMDETPHRAPHUTTHALOETLA HOSPITAL,10735,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,เพชรบุรี,โรงพยาบาลพระจอมเกล้า,PHRA CHOM KLAO HOSPITAL,10736,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
5,ประจวบคีรีขันธ์,โรงพยาบาลประจวบคีรีขันธ์,PRACHUAP KHIRIKHAN HOSPITAL,10737,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
11,กระบี่,โรงพยาบาลกระบี่,KRABI HOSPITAL,10738,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
11,พังงา,โรงพยาบาลพังงา,PHANG-NGA HOSPITAL,10739,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
11,พังงา,โรงพยาบาลตะกั่วป่า,TAKUAPA HOSPITAL,10740,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
11,ภูเก็ต,โรงพยาบาลวชิระภูเก็ต,VACHIRAPHUKET HOSPITAL,10741,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
11,สุราษฎร์ธานี,โรงพยาบาลเกาะสมุย,KOH SAMUI HOSPITAL,10742,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
11,ระนอง,โรงพยาบาลระนอง,RANONG HOSPITAL,10743,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
11,ชุมพร,โรงพยาบาลชุมพรเขตรอุดมศักดิ์,CHUMPHON KHET UDOMSAKDIHOSPITAL,10744,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
12,สงขลา,โรงพยาบาลสงขลา,SONGKHLA HOSPITAL,10745,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
12,สตูล,โรงพยาบาลสตูล,SATUN HOSPITAL,10746,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
12,พัทลุง,โรงพยาบาลพัทลุง,PHATTHALUNG HOSPITAL,10747,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
12,ปัตตานี,โรงพยาบาลปัตตานี,PATTANI HOSPITAL,10748,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
12,ยะลา,โรงพยาบาลเบตง,BETONG HOSPITAL,10749,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
12,นราธิวาส,โรงพยาบาลนราธิวาสราชนครินทร์,NARADHIWASRAJANAGARINDRA HOSPITAL,10750,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
12,นราธิวาส,โรงพยาบาลสุไหงโก-ลก,SUNGIKOLOK HOSPITAL,10751,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
6,สมุทรปราการ,โรงพยาบาลบางบ่อ,BANGBO HOSPITAL,10752,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,สมุทรปราการ,โรงพยาบาลบางพลี,BANGPLEE HOSPITAL,10753,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
6,สมุทรปราการ,โรงพยาบาลบางจาก,BANGCHAK HOSPITAL,10754,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,สมุทรปราการ,โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์,PHRASAMUTJEDI SAWATYANON HOSPITAL,10755,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นนทบุรี,โรงพยาบาลบางกรวย,BANGKRUAL HOSPITAL,10756,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นนทบุรี,โรงพยาบาลบางใหญ่,BANGYAI HOSPITAL,10757,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นนทบุรี,โรงพยาบาลบางบัวทอง,BANGBUATHONG HOSPITAL,10758,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นนทบุรี,โรงพยาบาลไทรน้อย,SAINOI HOSPITAL,10759,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นนทบุรี,โรงพยาบาลปากเกร็ด,PAKKRED HOSPITAL,10760,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ปทุมธานี,โรงพยาบาลคลองหลวง,KLONGLUANG HOSPITAL,10761,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ปทุมธานี,โรงพยาบาลธัญบุรี,THANYABURI HOSPITAL,10762,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ปทุมธานี,โรงพยาบาลประชาธิปัตย์,PRACHATHIPAT HOSPITAL,10763,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ปทุมธานี,โรงพยาบาลหนองเสือ,NONGSUE HOSPITAL,10764,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ปทุมธานี,โรงพยาบาลลาดหลุมแก้ว,LADLUMKAEW HOSPITAL,10765,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ปทุมธานี,โรงพยาบาลลำลูกกา,LAMLUKKA HOSPITAL,10766,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ปทุมธานี,โรงพยาบาลสามโคก,SAMKHOK HOSPITAL,10767,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลท่าเรือ,THARUEA HOSPITAL,10768,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร) นครหลวง,HIS ROYAL HOLINESS THE SUPREME PATRIARCH KROM LUANG JINAVARALONGKORN  (VASANA MAHATHERA) HOSPITAL,10769,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลบางไทร,BANGSAI HOSPITAL,10770,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลบางบาล,BANGBAN HOSPITAL,10771,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลบางปะอิน,BANG-PA-IN HOSPITAL,10772,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลบางปะหัน,BANG PAHAN HOSPITAL,10773,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลผักไห่,PHAKHAI HOSPITAL,10774,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลภาชี,PHACHI HOSPITAL,10775,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลลาดบัวหลวง,LADBUALUANG HOSPITAL,10776,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลวังน้อย,WANG NOI HOSPITAL,10777,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลบางซ้าย,BANGSAAI HOSPITAL,10778,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลอุทัย,UTHAI HOSPITAL,10779,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลมหาราช,MAHARACH HOSPITAL,10780,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลบ้านแพรก,BANPRAK HOSPITAL,10781,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,อ่างทอง,โรงพยาบาลไชโย,CHAIYO HOSPITAL,10782,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,อ่างทอง,โรงพยาบาลป่าโมก,PAMOK HOSPITAL,10784,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,อ่างทอง,โรงพยาบาลโพธิ์ทอง,PHOTHONG HOSPITAL,10785,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,อ่างทอง,โรงพยาบาลแสวงหา,SAWAENGHA HOSPITAL,10786,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,อ่างทอง,โรงพยาบาลวิเศษชัยชาญ,WISETCHAICHAN HOSPITAL,10787,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,อ่างทอง,โรงพยาบาลสามโก้,SAMKO HOSPITAL,10788,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ลพบุรี,โรงพยาบาลพัฒนานิคม,PATTANA NIKHOM HOSPITAL,10789,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ลพบุรี,โรงพยาบาลโคกสำโรง,KHOKSAMRONG HOSPITAL,10790,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,ลพบุรี,โรงพยาบาลชัยบาดาล,CHAIBADAN HOSPITAL,10791,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
